,MedianAbundance_Fe/H_H,MedianAbundance_Fe/H_B,MedianAbundance_Fe/H_CD,MedianAbundance_Fe/H_WD,MedianAbundance_O/H_H,MedianAbundance_O/H_B,MedianAbundance_O/H_CD,MedianAbundance_O/H_WD,MedianAbundance_O/Fe_H,MedianAbundance_O/Fe_B,MedianAbundance_O/Fe_CD,MedianAbundance_O/Fe_WD
Au2,-0.728596207079498,-0.10984494916050425,-0.03892239466073466,-0.17910974586401895,-0.44504005272572833,0.17674599771947164,0.2119928810866618,0.09264852027181814,0.28131178215232433,0.27404347878279445,0.24603222487475285,0.2625992164590931
Au3,-0.6212082773326832,-0.1823774151010662,0.07781961400304116,-0.14679549033014494,-0.3415759066794122,0.10532109461793349,0.3111426840516309,0.12074700776245306,0.2864204822093739,0.27416682939337944,0.22724103063140888,0.25588822131613553
Au4,-0.33307055289878074,-0.0014127064077475993,0.13456451528129687,-0.08103584531077379,-0.07383865205799056,0.2496488267282313,0.3634000441090337,0.16365641349111848,0.25940443263066726,0.25007613131152473,0.22731462291698135,0.24654356243301423
Au6,-0.6811751249753666,-0.24415093804748622,0.022187319413588202,-0.15599013146873641,-0.40003534881442127,0.04287771085942893,0.2641685435512213,0.11214883585208968,0.2790175865011004,0.27745144765585783,0.23716510045127293,0.2594042768179373
Au7,-0.39120711745651615,-0.08802399702485131,-0.0028005133623771883,-0.08788338655783168,-0.14007750680311748,0.17320290934628058,0.23290481356630366,0.15735438797993884,0.2559201690217816,0.2542374721092777,0.2325145402086457,0.24191193628269214
Au8,-0.6491000571218466,-0.22006551791401918,-0.1190135978059983,-0.20492744721523515,-0.3671934702133126,0.05807449504287154,0.1296197883773269,0.05705291890484876,0.2785336302921121,0.27065660778870604,0.24848385472024592,0.25856784931506094
Au9,-0.63656105687748,0.08108184653681239,-0.0035174130830992745,-0.029735079718351543,-0.3406791942503524,0.3327988011821583,0.22986710027239576,0.2182841938035942,0.29750112705118203,0.25252352433247394,0.22706216706568294,0.23686736554132093
Au10,-0.5715208236854687,0.26555705612014213,0.0587067136360524,0.06123301494457145,-0.2979906280173483,0.49521410212127615,0.283704330947673,0.3021435287306735,0.2687369792301275,0.23137472869810483,0.21862054579748147,0.23448521913352827
Au12,-0.4652143388864989,-0.10332964612260387,0.06144931740180937,-0.054512020184404264,-0.19743604906485723,0.16762645093733752,0.29315521905133135,0.19360704247837202,0.2653441302604981,0.26694109349131745,0.22677209057315917,0.24107894117772943
Au13,-0.4794967890743784,0.26329588171065677,0.043041609936183,0.022100332708306247,-0.21178301224664953,0.49099376210004175,0.2731677085611315,0.26247187075646927,0.2675074579685006,0.2277257355642499,0.2322319432067822,0.23805919050532665
Au14,-0.3778183493670362,0.23104257584790222,0.09050271964378176,-0.014805925028336553,-0.11340008111606714,0.4661034647170528,0.32107528559068443,0.23193788903451917,0.2665037201015781,0.23210978659989023,0.2246584305901529,0.2407567457217359
Au15,-0.6709550465628933,-0.2916456415257964,-0.008783105353804554,-0.14845542262832723,-0.4010047020147085,-0.022428061530061605,0.2326977934745167,0.10591197753804837,0.26884740265883666,0.2654381577986873,0.2386912468439374,0.2516852373442866
Au16,-0.7372676958273203,-0.37563973113862126,-0.02914201206121181,-0.20952148336306564,-0.4554893350824081,-0.0829908989821897,0.2210195732303375,0.06416022481802397,0.28047496396393634,0.2817686095966174,0.24465407194956112,0.2657892308571965
Au17,-0.5986325845089997,0.266822008443385,0.025184154046809848,0.04439449686366359,-0.3131403291907304,0.4884895820123134,0.2458416759185127,0.2804908493156768,0.28347155392484313,0.22518179184405596,0.22152490999996144,0.23532703816749567
Au18,-0.753011891912287,0.2392075743554294,0.049859052030756246,0.0011783451327458394,-0.4550182128541751,0.4781642236683119,0.27769299887082743,0.25245190253291905,0.28895281323506183,0.23797199087640164,0.21900221995263736,0.2433559523826877
Au20,-0.4252795927030304,-0.05974965358498174,-0.10404377626470751,-0.16037118686194685,-0.17147746565306932,0.20255883856507406,0.13514791923656322,0.09317509491062737,0.25728009990292655,0.25533204718562397,0.2378003972429954,0.25072652322498223
Au21,-0.5321960749480095,-0.11588594736165092,0.08271658310592667,-0.04562235767635858,-0.2607437652385043,0.1561473431056397,0.31601873849729323,0.20703292479520785,0.2713702932100679,0.26677602594088157,0.22942373968056562,0.2507779403520085
Au22,-0.6386650656666175,0.21019550575672685,0.04978058801998353,0.031249863306816117,-0.3532005390594781,0.43380260492016287,0.269139535717565,0.2687321093849002,0.2836319796420641,0.23343316643395284,0.21205552982912979,0.23899249785063925
Au23,-0.6449941692557246,0.15122571858426603,0.04573460118150052,-0.003682501334037802,-0.3603589344373548,0.3984862733398553,0.27878636125200584,0.24713253722529593,0.2802267391840827,0.24730102002803012,0.22501812010358235,0.2393486741336298
Au24,-0.6514333923450231,0.02608985173415368,-0.049795258191402514,-0.1563026390488571,-0.3630206151982218,0.30224868043234965,0.19967952175877457,0.11113306809292167,0.28636832300158654,0.2717827040013001,0.24331576146616363,0.2604243791667369
Au25,-0.7704508698474992,-0.35265201595567053,-0.055580826090304125,-0.12584918533061895,-0.48560652219932887,-0.05764833877740472,0.1892478806349378,0.1291693715168014,0.26731780250535087,0.2843111852471356,0.24353517740803643,0.2512323634167397
Au26,-0.544971161948681,0.31929392746831464,0.09278587573046959,0.1425103437015638,-0.26162052570677297,0.5421643890430712,0.31905477417959105,0.37128719833520396,0.2885242414322886,0.22143217968474183,0.22681194160189921,0.22627339718774808
Au27,-0.6415284742480374,-0.0653288698206218,0.07928776344588417,-0.022621651655499342,-0.3497202363603371,0.22107621103609,0.30977319554572746,0.23315977246553832,0.2898821183871054,0.28289511416473134,0.22241838682877968,0.23934546490346387
